id,name,releasedate,recommendationcount,priceinitial,abouttext,background
11,Half-Life 2,Nov 16 2004,35792,9.99,1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous immersive storytelling. Valves debut title wins more than 50 game-of-the-year awards on its way to being named Best PC Game Ever by PC Gamer and launches a franchise with more than eight million retail units sold worldwide.NOW. By taking the suspense challenge and visceral charge of the original and adding startling new realism and responsiveness Half-Life 2 opens the door to a world where the players presence affects everything around him from the physical environment to the behaviors even the emotions of both friends and enemies.The player again picks up the crowbar of research scientist Gordon Freeman who finds himself on an alien-infested Earth being picked to the bone its resources depleted its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people he cares about are counting on him.The intense real-time gameplay of Half-Life 2 is made possible only by Source® Valves new proprietary engine technology. Source provides major enhancements in:Characters: Advanced facial animation system delivers the most sophisticated in-game characters ever seen. With 40 distinct facial muscles human characters convey the full array of human emotion and respond to the player with fluidity and intelligence.Physics: From pebbles to water to 2-ton trucks respond as expected as they obey the laws of mass friction gravity and buoyancy.Graphics: Sources shader-based renderer like the one used at Pixar to create movies such as Toy Story® and Monsters Inc.® creates the most beautiful and realistic environments ever seen in a video game.AI: Neither friends nor enemies charge blindly into the fray. They can assess threats navigate tricky terrain and fashion weapons from whatever is at hand.,http://cdn.akamai.steamstatic.com/steam/apps/220/page_bg_generated_v6b.jpg?t=1456860366
12,Counter-Strike: Source,Nov 1 2004,53931,19.99,THE NEXT INSTALLMENT OF THE WORLDS ,
13,Half-Life: Source,Jun 1 2004,2547,9.99,Winner of over 50 Game of the Year awards Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game enhanced via Source technology to include physics simulation enhanced effects and more.,http://cdn.akamai.steamstatic.com/steam/apps/280/page_bg_generated_v6b.jpg?t=1447350819
14,Day of Defeat: Source,Jul 12 2010,7185,9.99,Day of Defeat offers intense online action gameplay set in Europe during WWII. Assume the role of infantry sniper or machine-gunner classes and more. DoD:S features enhanced graphics and sounds design to leverage the power of Source Valves new engine technology.,http://cdn.akamai.steamstatic.com/steam/apps/300/page_bg_generated_v6b.jpg?t=1447350820
15,Half-Life 2: Deathmatch,Nov 1 2004,4328,4.99,Fast multiplayer action set in the Half-Life 2 universe! HL2s physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today!,http://cdn.akamai.steamstatic.com/steam/apps/320/page_bg_generated_v6b.jpg?t=1447350821
16,Half-Life 2: Lost Coast,Oct 27 2005,4352,0,Originally planned as a section of the Highway 17 chapter of Half-Life 2 Lost Coast is a playable technology showcase that introduces High Dynamic Range lighting to the Source engine.,http://cdn.akamai.steamstatic.com/steam/apps/340/page_bg_generated_v6b.jpg?t=1447350821
17,Half-Life Deathmatch: Source,May 1 2006,864,9.99,Half-Life Deathmatch: Source is a recreation of the first multiplayer game set in the Half-Life universe. Features all the classic weapons and most-played maps now running on the Source engine.,http://cdn.akamai.steamstatic.com/steam/apps/360/page_bg_generated_v6b.jpg?t=1447350852
18,Half-Life 2: Episode One,Jun 1 2006,4437,7.99,Half-Life 2 has sold over 4 million copies worldwide and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required.,http://cdn.akamai.steamstatic.com/steam/apps/380/page_bg_generated_v6b.jpg?t=1456867730
19,Portal,Oct 10 2007,27535,9.99,Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.The game is designed to change the way players approach manipulate and surmise the possibilities in a given environment; similar to how Half-Life® 2s Gravity Gun innovated new ways to leverage an object in any given situation.Players must solve physical puzzles and challenges by opening portals to maneuvering objects and themselves through space.,http://cdn.akamai.steamstatic.com/steam/apps/400/page_bg_generated_v6b.jpg?t=1447890222
20,Half-Life 2: Episode Two,Oct 10 2007,6104,7.99,Half-Life® 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life® adventure.As Dr. Gordon Freeman you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions. In Episode Two you must battle and race against Combine forces as you traverse the White Forest to deliver a crucial information packet stolen from the Citadel to an enclave of fellow resistance scientists.Episode Two extends the award-winning Half-Life gameplay with unique weapons vehicles and newly-spawned creatures.,http://cdn.akamai.steamstatic.com/steam/apps/420/page_bg_generated_v6b.jpg?t=1456867684
21,Team Fortress 2,Oct 10 2007,383949,0,The most fun you can have online - PC Gamer Is now FREE! Theres no catch! Play as much as you want as long as you like! The most highly-rated free game of all time! One of the most popular online action games of all time Team Fortress 2 delivers constant free updates--new game modes maps equipment and most importantly hats. Nine distinct classes provide a broad range of tactical abilities and personalities and lend themselves to a variety of player skills. New to TF? Dont sweat it! No matter what your style and experience weve got a character for you. Detailed training and offline practice modes will help you hone your skills before jumping into one of TF2s many game modes including Capture the Flag Control Point Payload Arena King of the Hill and more. Make a character your own! There are hundreds of weapons hats and more to collect craft buy and trade. Tweak your favorite class to suit your gameplay style and personal taste. You dont need to pay to win--virtually all of the items in the Mann Co. Store can also be found in-game.,http://cdn.akamai.steamstatic.com/steam/apps/440/page_bg_generated_v6b.jpg?t=1473198172
22,Left 4 Dead,Nov 17 2008,9980,19.99,From Valve (the creators of Counter-Strike Half-Life and more) comes Left 4 Dead a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.                    Set in the immediate aftermath of the zombie apocalypse L4Ds survival co-op mode lets you blast a path through the infected in four unique movies guiding your survivors across the rooftops of an abandoned metropolis through rural ghost towns and pitch-black forests in your quest to escape a devastated Ground Zero crawling with infected enemies. Each movie is comprised of five large maps and can be played by one to four human players with an emphasis on team-based strategy and objectives.                     New technology dubbed the AI Director is used to generate a unique gameplay experience every time you play. The Director tailors the frequency and ferocity of the zombie attacks to your performance putting you in the middle of a fast-paced but not overwhelming Hollywood horror movie.                    Addictive single player co-op and multiplayer action gameplay from the makers of Counter-Strike and Half-Life                    Versus Mode lets you compete four-on-four with friends playing as a human trying to get rescued or as a zombie boss monster that will stop at nothing to destroy them.See how long you and your friends can hold out against the infected horde in the new Survival ModeAn advanced AI director dynamically creates intense and unique experiences every time the game is played                     20 maps 10 weapons and unlimited possibilities in four sprawling movies                     Matchmaking stats rankings and awards system drive collaborative play                     Designers Commentary allows gamers to go behind the scenes of the game                     Powered by Source and Steam                     THE SACRIFICEThe Sacrifice is  the new add-on for Left 4 Dead.The Sacrifice is the prequel to The Passing and takes place from the L4D Survivors perspective as they make their way South. In addition to advancing the story The Sacrifice introduces a new style finale featuring Sacrificial Gameplay where players get to decide who will give their life so the others may live.In The Sacrifice for Left 4 Dead owners receive The Sacrifice campaign playable in Campaign Versus  and Survival modes.,http://cdn.akamai.steamstatic.com/steam/apps/500/page_bg_generated_v6b.jpg?t=1447903113
23,Left 4 Dead 2,Nov 16 2009,140726,19.99,Set in the zombie apocalypse Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead the,
24,Dota 2,Jul 9 2013,590480,0,Dota is a competitive game of action and strategy played both professionally and casually by millions of passionate fans worldwide. Players pick from a pool of over a hundred heroes forming two teams of five players. Radiant heroes then battle their Dire counterparts to control a gorgeous fantasy landscape waging campaigns of cunning stealth and outright warfare.Irresistibly colorful on the surface Dota is a game of infinite depth and complexity. Every hero has an array of skills and abilities that combine with the skills of their allies in unexpected ways to ensure that no game is ever remotely alike. This is one of the reasons that the Dota phenomenon has continued to grow. Originating as a fan-made Warcraft 3 modification Dota was an instant underground hit. After coming to Valve the original community developers have bridged the gap to a more inclusive audience so that the rest of the world can experience the same core gameplay but with the level of polish that only Valve can provide.Get a taste of the game that has enthralled millions.,http://cdn.akamai.steamstatic.com/steam/apps/570/page_bg_generated_v6b.jpg?t=1471028674
25,Portal 2,Apr 18 2011,73128,19.99,Portal 2 draws from the award-winning formula of innovative gameplay story and music that earned the original Portal over 70 industry accolades and created a cult following.The single-player portion of Portal 2 introduces a cast of dynamic new characters a host of fresh puzzle elements and a much larger set of devious test chambers. Players will explore never-before-seen areas of the Aperture Science Labs and be reunited with GLaDOS the occasionally murderous computer companion who guided them through the original game.The games two-player cooperative mode features its own entirely separate campaign with a unique story test chambers and two new player characters. This new mode forces players to reconsider everything they thought they knew about portals. Success will require them to not just act cooperatively but to think cooperatively.Product FeaturesExtensive single player: Featuring next generation gameplay and a wildly-engrossing story.Complete two-person co-op: Multiplayer game featuring its own dedicated story characters and gameplay.Advanced physics: Allows for the creation of a whole new range of interesting challenges producing a much larger but not harder game.Original music.Massive sequel: The original Portal was named 2007s Game of the Year by over 30 publications worldwide. Editing Tools: Portal 2 editing tools will be included.,http://cdn.akamai.steamstatic.com/steam/apps/620/page_bg_generated_v6b.jpg?t=1452903431
26,Alien Swarm,Jul 19 2010,14625,0,Alien Swarm is a game and Source SDK release from a group of talented designers at Valve who were hired from the Mod community.Available free of charge the game thrusts players into an epic bug hunt featuring a unique blend of co-op play and squad-level tactics. With your friends form a squad of four distinct IAF Marine classes. Plan your attack using an unlockable arsenal of weapons with countless loadout configurations against a wide variety of aliens. Blaze your way through an overrun off-world colony eradicating the alien infestation in environments ranging from the icy planets surface to a subterranean lava-flooded mining facility.Along with the game get the complete code base for Alien Swarm that features updates to the Source engine as well as the SDK. Alien Swarm adds 3rd person camera depth of field improved dynamic shadows and a wide variety of gameplay additions to the Source engine.Tactical 4 player co-op action game with a top-down perspective Complete game code and mod tools Unlock persistent items by gaining levels Over 40 weapons and equipment with countless loadout configurations 4 unique classes and 8 unique characters Matchmaking Steam Cloud Steam Stats 64 achievements Tile-based map generation tool Powered by Source and Steam,http://cdn.akamai.steamstatic.com/steam/apps/630/page_bg_generated_v6b.jpg?t=1447353182
27,Portal 2 - Pre-order,Apr 18 2011,73144,19.99,Portal 2 draws from the award-winning formula of innovative gameplay story and music that earned the original Portal over 70 industry accolades and created a cult following.The single-player portion of Portal 2 introduces a cast of dynamic new characters a host of fresh puzzle elements and a much larger set of devious test chambers. Players will explore never-before-seen areas of the Aperture Science Labs and be reunited with GLaDOS the occasionally murderous computer companion who guided them through the original game.The games two-player cooperative mode features its own entirely separate campaign with a unique story test chambers and two new player characters. This new mode forces players to reconsider everything they thought they knew about portals. Success will require them to not just act cooperatively but to think cooperatively.Product FeaturesExtensive single player: Featuring next generation gameplay and a wildly-engrossing story.Complete two-person co-op: Multiplayer game featuring its own dedicated story characters and gameplay.Advanced physics: Allows for the creation of a whole new range of interesting challenges producing a much larger but not harder game.Original music.Massive sequel: The original Portal was named 2007s Game of the Year by over 30 publications worldwide. Editing Tools: Portal 2 editing tools will be included.,http://cdn.akamai.steamstatic.com/steam/apps/620/page_bg_generated_v6b.jpg?t=1452903431
28,Counter-Strike: Global Offensive,Aug 21 2012,1427633,14.99,Counter-Strike: Global Offensive (CS: GO) will expand upon the team-based action gameplay that it pioneered when it was launched 14 years ago.CS: GO features new maps characters and weapons and delivers updated versions of the classic CS content (de_dust etc.). In addition CS: GO will introduce new gameplay modes matchmaking leader boards and more.Counter-Strike took the gaming industry by surprise when the unlikely MOD became the most played online PC action game in the world almost immediately after its release in August 1999 said Doug Lombardi at Valve. For the past 12 years it has continued to be one of the most-played games in the world headline competitive gaming tournaments and selling over 25 million units worldwide across the franchise. CS: GO promises to expand on CS award-winning gameplay and deliver it to gamers on the PC as well as the next gen consoles and the Mac.,http://cdn.akamai.steamstatic.com/steam/apps/730/page_bg_generated_v6b.jpg?t=1467065027
29,Rag Doll Kung Fu,Oct 12 2005,0,9.99,Featuring a wide collection of single and multiplayer games either online or with multiple mice Rag Doll Kung Fu provides players with one of the most creative and unique game experiences delivered in years. Additionally between those game rounds the challenges of an aspiring Kung Fu master are revealed via outlandish cut scenes inspired by classic Kung Fu cinema.,http://cdn.akamai.steamstatic.com/steam/apps/1002/page_bg_generated_v6b.jpg?t=1447350828
30,Red Orchestra: Ostfront 41-45,Mar 14 2006,1220,9.99,Fight in the theatre of war that changed the world forever. Battle alongside your compatriots on some of the most inhospitable environments of the Eastern Front in Red Orchestra: Ostfront 41-45. Red Orchestra places you in the most realistic WWII first-person multi-player combat to date on the PC allowing the player to fight through some of the most intense combat of the war. You can play as infantry using a wide range of infantry weapons or crew one of the many armored combat vehicles available in the game from half-tracks to the most famous German and Soviet heavy tanks. Engage the enemy with everything in your arsenal from your bayonet at close quarters up to the massive 122mm cannon on the Soviet IS-2. And if that isnt enough find an officer and a radio to call in thunderous artillery strikes to shake the enemy loose.Crew 16 fully realized vehicles with highly detailed exterior and interior models Choose from 30 authentic infantry weapons Full 50+ player online Multiplayer SupportUnique Setting - the only FPS to focus on the WWII Russian FrontEngage enemy tanks at 800 metres and more with the Simulation-level armored vehicle combatFight the full range of combined arms infantry and vehicle combat in detailed environments based on real-world data from city-centre to deeply rural settings Realistic bullet and projectile ballistics will make you duck for cover Coordinate strategies with your team-mates via Voice Over IP Authentic Immersive Sound FX and 3d Positional Sound System 3D Iron Sights and unique 3D scope system True weapon deployment system including resting rifles on supportHistorically accurate artillery system Distance-based sound system dynamically creates the battle ambianceAdvanced player movement system featuring diving over obstacles and leaning Custom 8 way animation system for highly realistic player animations New for Summer 07This update includes a new map a new vehicle and some major graphical enhancements to the game and is available to owners of the game for free through Steam. The new map - Krivoi Rog - gives players the largest tank slugfest to date with 16 square kilometers of terrain 3000 meter viewable range and up to 50 players. This map also features the new vehicle - the German Panzer IV G providing the German players with some additional fire-power for the mid-war period.In addition to the new map and vehicle an all-new adaptive bloom system has been added for the games graphics making the bloom crystal-clear even at low resolutions. For further eye-candy Anti-Aliasing and Anisotropic Filtering settings are now configurable in-game.New for Spring 07Ten new maps the winning entries in Tripwires Custom Map Competition. Tripwire worked with the developers of each of these maps to ensure the maps are optimized polished and gameplay balanced. Highlights in the new map-pack include:Smolensk Stalemate: the contest winning map features perfectly balanced to-and-fro infantry combat through ruined villages and trenches in August 1943.Leningrad: features close-quarters infantry fighting in the ruined streets of the city above them in the bombed-out buildings and deep beneath them in the sewers all with close-in armor support.Berezina: the After-Hourz team surpass themselves on this rural/village map introducing not just a new vehicle (the Russian BT-7 light tank) but also the first functional anti-tank gun in the game. To cap it off the BT-7 even carries tank-riders.Black Day July: one of the very best for tank combat fans set in the rolling countryside around Prokhorovka as German and Russian armor clash en masse during the Battle of Kursk.Increased player limits. A new level of intensity with 50+ player multiplayer battles (up from the previous limit of 32).New community made content including the Russian BT-7 light tank with infantry tank riders and the first player controllable anti-tank gun in the game.New soundtrack: The Orchestra comes to the Ostfront - the game now features a complete in-game soundtrack from composer Matthew Burns.Gameplay enhancements. The addition of several features requested by the clan/ladder/league community to enhance competitive play.,http://cdn.akamai.steamstatic.com/steam/apps/1200/page_bg_generated_v6b.jpg?t=1447350836
31,Killing Floor,May 14 2009,44364,19.99,Killing Floor is a Co-op Survival Horror FPS set in the devastated cities and countryside of England after a series of cloning experiments for the military goes horribly wrong. You and your friends are members of the military dropped into these locations with a simple mission: Survive long enough to cleanse the area of the failed experiments!Cooperative gameplay for up to six players against multiple waves of specimensPersistent Perks system allowing players to convert their in-game achievements into permanent improvements to their characters skills and abilities Over 170 Steam Achievements including Dignity for the dead for killing 10 enemies feeding on dead teammates corpses and Hot Cross Fun for finishing off 25 burning enemies with a CrossbowSlow-motion ZEDtime to better watch those crucial and violent creature deaths even in multiplayer Solo game mode for offline play Ten different monster types trying to eat your face off armed with everything from teeth and claws to chainsaws chain-guns and rocket-launchers 33+ weapons for the players to chose from ranging from knives and fire-axes to pump shotguns rifles and a flamethrower Equip your team with welders medical tools and body armor to help your odds of survival Choose which Perks to play with to best balance out your co-op team against the horrors Open non-linear play areas: choose when and where to fight -- or run; weld doors closed to direct the monster horde down alternate corridorsFully-configurable allowing players to change the difficulty level number of creature waves or even set up their own favorite waves of monsters Support for Steam Friends and other Steamworks featuresIncludes Windows-only SDK for the creation of new levels and mods,http://cdn.akamai.steamstatic.com/steam/apps/1250/page_bg_generated_v6b.jpg?t=1464640213
32,SiN Episodes: Emergence,May 10 2006,385,9.99,You are John Blade commander of HardCorps an elite security force dedicated to protecting the people of Freeport City. Four years have passed since your first battle with Elexis Sinclaire a beautiful brilliant and ruthless scientist who is out to remake humanity according to her own twisted vision. The law has failed to bring Elexis and her multi-billion dollar empire SiNTEK to justice so Blade is determined to take matters into his own hands. Joining Blade on his mission are JC - a hacker with a secret to keep - and Jessica Cannon a fiery rookie who can find her way into any secure facility.Enter the living breathing world of Freeport City a futuristic collision of New York San Francisco and Tokyo. As Freeport continues to suffer from mutant attacks you must now bring down Sinclaire before she can set her deadly plan in motion and alter the shape of humanity forever.SiN Episodes(tm): Emergence launches the new era of episodic gaming. A first person shooter powered by Valves award-winning Source(tm) technology SiN Episodes offers unprecedented interactivity an engrossing story and a revolutionary dynamic difficulty system that provides a custom experience based on your skill level and play style.Intense Combat: Face off against ruthless enemies like jetpack soldiers and mutants that evolve as you fight them. Witness enemies that adapt to your actions and truly work as a team as they cover each other and help fallen comrades to get back on their feet.Outsmart your opponents by using your surroundings to your advantage as you set up traps using lethal elements of the environment. Location-based damage rewards accuracy while melee combat moves enable you to get up-close and personal.Unprecedented Interactivity: Blast your way through highly interactive environments powered by an enhanced version of the Source engine. Characters dynamically react to what youre looking at and the environment. Target and shoot off specific vehicle parts and literally blow cars to pieces. Experience the next level of vehicle combat with a flexible positioning system enabling you to move around the interior with an unprecedented degree of freedom allowing you to pick the ideal position to attack that enemy position up ahead.Personal Challenge System(tm): Driven by one of the most elaborate statistics systems ever created SiN Episodes will constantly adapt to your playing style and offers a challenge that is custom-tailored to your skill level.Episodic Delivery: Buy as little or as much of the game as you want with each installment offering 3 - 6 hours of action-packed gameplay. But tread lightly as the choices you make may influence future episodes in unforeseen ways.Source Powered: Utilizing the same engine that powered Half-life(r) 2 Emergence gives you stunningly gorgeous graphics and intense physics-based gameplay.,http://cdn.akamai.steamstatic.com/steam/apps/1300/page_bg_generated_v6b.jpg?t=1464638889
33,SiN Multiplayer,May 10 2006,386,9.99,You are John Blade commander of HardCorps an elite security force dedicated to protecting the people of Freeport City. Four years have passed since your first battle with Elexis Sinclaire a beautiful brilliant and ruthless scientist who is out to remake humanity according to her own twisted vision. The law has failed to bring Elexis and her multi-billion dollar empire SiNTEK to justice so Blade is determined to take matters into his own hands. Joining Blade on his mission are JC - a hacker with a secret to keep - and Jessica Cannon a fiery rookie who can find her way into any secure facility.Enter the living breathing world of Freeport City a futuristic collision of New York San Francisco and Tokyo. As Freeport continues to suffer from mutant attacks you must now bring down Sinclaire before she can set her deadly plan in motion and alter the shape of humanity forever.SiN Episodes(tm): Emergence launches the new era of episodic gaming. A first person shooter powered by Valves award-winning Source(tm) technology SiN Episodes offers unprecedented interactivity an engrossing story and a revolutionary dynamic difficulty system that provides a custom experience based on your skill level and play style.Intense Combat: Face off against ruthless enemies like jetpack soldiers and mutants that evolve as you fight them. Witness enemies that adapt to your actions and truly work as a team as they cover each other and help fallen comrades to get back on their feet.Outsmart your opponents by using your surroundings to your advantage as you set up traps using lethal elements of the environment. Location-based damage rewards accuracy while melee combat moves enable you to get up-close and personal.Unprecedented Interactivity: Blast your way through highly interactive environments powered by an enhanced version of the Source engine. Characters dynamically react to what youre looking at and the environment. Target and shoot off specific vehicle parts and literally blow cars to pieces. Experience the next level of vehicle combat with a flexible positioning system enabling you to move around the interior with an unprecedented degree of freedom allowing you to pick the ideal position to attack that enemy position up ahead.Personal Challenge System(tm): Driven by one of the most elaborate statistics systems ever created SiN Episodes will constantly adapt to your playing style and offers a challenge that is custom-tailored to your skill level.Episodic Delivery: Buy as little or as much of the game as you want with each installment offering 3 - 6 hours of action-packed gameplay. But tread lightly as the choices you make may influence future episodes in unforeseen ways.Source Powered: Utilizing the same engine that powered Half-life(r) 2 Emergence gives you stunningly gorgeous graphics and intense physics-based gameplay.,http://cdn.akamai.steamstatic.com/steam/apps/1300/page_bg_generated_v6b.jpg?t=1464638889
34,SiN,May 10 2006,386,9.99,You are John Blade commander of HardCorps an elite security force dedicated to protecting the people of Freeport City. Four years have passed since your first battle with Elexis Sinclaire a beautiful brilliant and ruthless scientist who is out to remake humanity according to her own twisted vision. The law has failed to bring Elexis and her multi-billion dollar empire SiNTEK to justice so Blade is determined to take matters into his own hands. Joining Blade on his mission are JC - a hacker with a secret to keep - and Jessica Cannon a fiery rookie who can find her way into any secure facility.Enter the living breathing world of Freeport City a futuristic collision of New York San Francisco and Tokyo. As Freeport continues to suffer from mutant attacks you must now bring down Sinclaire before she can set her deadly plan in motion and alter the shape of humanity forever.SiN Episodes(tm): Emergence launches the new era of episodic gaming. A first person shooter powered by Valves award-winning Source(tm) technology SiN Episodes offers unprecedented interactivity an engrossing story and a revolutionary dynamic difficulty system that provides a custom experience based on your skill level and play style.Intense Combat: Face off against ruthless enemies like jetpack soldiers and mutants that evolve as you fight them. Witness enemies that adapt to your actions and truly work as a team as they cover each other and help fallen comrades to get back on their feet.Outsmart your opponents by using your surroundings to your advantage as you set up traps using lethal elements of the environment. Location-based damage rewards accuracy while melee combat moves enable you to get up-close and personal.Unprecedented Interactivity: Blast your way through highly interactive environments powered by an enhanced version of the Source engine. Characters dynamically react to what youre looking at and the environment. Target and shoot off specific vehicle parts and literally blow cars to pieces. Experience the next level of vehicle combat with a flexible positioning system enabling you to move around the interior with an unprecedented degree of freedom allowing you to pick the ideal position to attack that enemy position up ahead.Personal Challenge System(tm): Driven by one of the most elaborate statistics systems ever created SiN Episodes will constantly adapt to your playing style and offers a challenge that is custom-tailored to your skill level.Episodic Delivery: Buy as little or as much of the game as you want with each installment offering 3 - 6 hours of action-packed gameplay. But tread lightly as the choices you make may influence future episodes in unforeseen ways.Source Powered: Utilizing the same engine that powered Half-life(r) 2 Emergence gives you stunningly gorgeous graphics and intense physics-based gameplay.,http://cdn.akamai.steamstatic.com/steam/apps/1300/page_bg_generated_v6b.jpg?t=1464638889
35,Darwinia,Jul 14 2005,444,9.99,Combining fast-paced action with strategic battle planning Darwinia features a novel and intuitive control mechanism a graphical style ripped from 80s retro classics like Tron and Defender and a story concerning a tribe of nomadic sprites trapped in a modern 3D world.,http://cdn.akamai.steamstatic.com/steam/apps/1500/page_bg_generated_v6b.jpg?t=1460468361
36,Uplink,Aug 23 2006,1240,9.99,You play an Uplink Agent who makes a living by performing jobs for major corporations. Your tasks involve hacking into rival computer systems stealing research data sabotaging other companies laundering money erasing evidence or framing innocent people.You use the money you earn to upgrade your computer systems and to buy new software and tools. As your experience level increases you find more dangerous and profitable missions become available. You can speculate on a fully working stock market (and even influence its outcome). You can modify peoples academic or criminal records. You can divert money from bank transfers into your own accounts. You can even take part in the construction of the most deadly computer virus ever designed.,http://cdn.akamai.steamstatic.com/steam/apps/1510/page_bg_generated_v6b.jpg?t=1447350872
37,DEFCON,Sep 29 2006,1655,9.99,Inspired by the 1983 cult classic film Wargames DEFCON superbly evokes the tension paranoia and suspicion of the Cold War era playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare.You play a General hidden deep within an underground bunker. Your mission is to successfully exterminate your enemys civilian population whilst saving your own. Points are awarded or lost depending on both the efficacy and thoroughness of your nuclear vendetta and the number of your own civilian deaths.  In order to win you must wipe out the enemy population and simultaneously disable the enemys ability to retaliate against you. This is an extremely difficult task since launching an attack on the enemy exposes the positions of your own Ground Silos Subs and Bombers the moment they launch nuclear weapons making you extremely vulnerable and exposed to a crushing counter-attack. Desperate attempts must be made to form fast tactical alliances alliances that may at any moment break-down to become the treacherous and most deadly of betrayals. Everyone looks to each other in a state of nervous suspense and paranoid accusation. In all-out nuclear Armageddon everybody dies everybody loses you just have to make sure you lose the least!,http://cdn.akamai.steamstatic.com/steam/apps/1520/page_bg_generated_v6b.jpg?t=1447350910
